station,station_name,lon,lat,elev,variable,valid_months,start,end
8104900,GODFREY,-76.63333333333334,44.56666666666667,160,pr,934,1924-01-01,2003-05-01
7033650,KEMPTVILLE,-75.63,45.0,99,tas,1065,1928-11-01,2021-12-01
2400573,MORRISBURG,-75.18,44.92,82,tas,1141,1913-06-01,2008-12-01
1026270,MORRISBURG,-75.18834333333334,44.92361833333333,82,pr,1142,1913-01-01,2008-12-01
1T20270,POINTE AU CHENE,-74.8,45.65,51,pr,961,1919-01-01,2009-06-01
8202250,HALIFAX STANFIELD ,-63.50001388888889,44.88001666666667,145,pr,1661,1872-01-01,2012-09-01
490,HALIFAX,-63.617,44.65,145,wl,1141,1913-06-01,2008-12-01
8300300,CHARLOTTETOWN ,-63.12863055555555,46.28861666666667,49,pr,1657,1872-01-01,2012-09-01
1700,CHARLOTTETOWN,-63.13333333333333,46.266666666666666,49,wl,1657,1872-01-01,2012-09-01
