station,station_name,lon,lat,elev,variable,valid_months,start,end
6137730,SIMCOE,-80.27,42.85,241,tas,760,1920-07-01,1986-12-01
6025205,MINE_CENTRE,-92.62,48.77,361,tas,1244,1915-02-01,2021-12-01
4067655,WHITESAND-SOUTHEND,-103.28,56.33,344,tas,983,1938-01-01,2021-12-01
1107680,STAVE_FALLS,-122.37,49.23,110,tas,1031,1909-10-01,2004-08-01
3010237,ANDREW,-112.28,53.92,625,tas,546,1974-11-01,2021-12-01
4015440,MUENSTER,-105.0,52.33,580,tas,1352,1904-06-01,2021-12-01
8100885,CHARLO_,-66.33,47.98,42,tas,650,1966-12-01,2021-12-01
2203058,PAULATUK,-124.08,69.35,6,tas,418,1985-05-01,2021-12-01
1038332,UCLUELET_KENNEDY_CAM,-125.53,48.95,40,tas,394,1988-09-01,2021-12-01
7017585,ST_NARCISSE,-72.43,46.53,46,tas,556,1973-09-01,2021-11-01
3031094,CALGARY,-114.0,51.12,1082,tas,1640,1885-01-01,2021-12-01
4015360,MOOSOMIN,-101.67,50.13,576,tas,681,1941-04-01,2000-09-01
1143900,KASLO,-116.92,49.92,600,tas,1256,1912-03-01,2018-09-01
6119511,WILDER_LAKE,-80.77,44.15,390,tas,694,1947-11-01,2009-01-01
3062660,FORT_ASSINIBOINE,-114.77,54.42,676,tas,591,1970-01-01,2021-12-01
4046884,ROSETOWN,-107.92,51.57,586,tas,993,1937-04-01,2021-12-01
2101204,WATSON_LAKE,-128.83,60.12,683,tas,991,1938-10-01,2021-12-01
7060400,BAGOTVILLE,-71.0,48.33,159,tas,1575,1880-11-01,2021-12-01
7050145,AMQUI,-67.43,48.47,166,tas,662,1957-03-01,2019-07-01
1096453,PRINCE_GEORGE,-122.67,53.88,680,tas,1302,1912-08-01,2021-12-01
1125760,OLIVER,-119.57,49.17,315,tas,828,1938-06-01,2008-10-01
1025C70,NANAIMO_DEPARTURE_BA,-123.95,49.22,8,tas,833,1913-01-01,1992-11-01
6115529,MUSKOKA,-79.3,44.97,282,tas,825,1953-01-01,2021-12-01
7056240,PRICE,-68.13,48.6,73,tas,625,1931-09-01,1985-01-01
8100505,BATHURST,-65.73,47.63,59,tas,1145,1922-01-01,2018-10-01
8403505,ST_JOHN_S,-52.75,47.62,141,tas,1699,1874-01-01,2021-12-01
6100970,BROCKVILLE,-75.75,44.63,120,tas,1258,1915-07-01,2021-12-01
8203600,MOUNT_UNIACKE,-63.83,44.9,159,tas,935,1920-07-01,2003-07-01
6036907,RAWSON_LAKE,-93.73,49.67,435,tas,590,1969-06-01,2021-12-01
7022320,FARNHAM,-72.9,45.3,68,tas,1078,1917-06-01,2021-11-01
4064620,LOON_LAKE,-109.13,54.02,546,tas,868,1930-01-01,2021-12-01
7027283,BEAUCEVILLE,-70.7,46.15,168,tas,1266,1913-08-01,2021-11-01
4022359,ELBOW,-106.58,51.13,595,tas,876,1933-04-01,2021-12-01
1086082,PEMBERTON_AIRPORT_CS,-122.73,50.3,204,tas,1205,1912-08-01,2021-12-01
4014040,KIPLING,-102.73,50.2,671,tas,848,1950-04-01,2021-12-01
1016995,SALTSPRING_,-123.55,48.88,46,tas,1321,1909-11-01,2021-11-01
4063605,ISLAND_FALLS,-102.35,55.53,297,tas,1088,1929-09-01,2021-12-01
3015523,ROCKY_MTN_HOUSE,-114.92,52.42,988,tas,1192,1915-08-01,2021-12-01
1067748,STEWART,-129.98,55.93,7,tas,1235,1910-09-01,2021-12-01
